a cappella,avb/adj,singing
communicative,adj,chatty
communion,n,fellowship
communism,n,thralldom
communist,adj,red
community,n,shire
compact,adj,deal
companion,n,fellow
company,n,business
comparative,n,overlikening 
compare,vb,liken
comparable,adj,alike
compass,n,magnetic
compassion,n,feeling
compassionate,adj,kind
compatible,adj,kindred
compatriot,n,kinsman
compel,vb,fordrivestrong-arm
compensation,n,meed
competent,adj,fit
competition,n,-bidding
compile,vb,put together
complain,vb,whine
complete,adj,full
complete,vb,fulfill
complex,adj,manifold
complexion,n,hue
compliant,adj,toward
complicated,adj,knotty
complimentary,adj,sweasely 
compline,n,nightsong 
component,n,underdeal 
compose,vb,make
composer,n,swinsmith
composition,n,layoutIsetness 
compound,n,cocktail
comprehensive,adj,all-in
comprise,vb,make up
compunction,n,qualm
computation,n,reckoning
comrade,n,fellow
conceal,vb,hide
concealment,n,hiding
conceivable,adj,thoughtworthy
conceive,vb,beget
concentrate,vb,meet
concentrated,adj,crammed
concentration camp,n,shandstead
concentric,adj,ringed
concern,n,care
concept,n,mind's eye
conception,n,mind's eye
conclude,vb,end
conclusion,n,ending
concrete,n, adj
concussion,n,shell shock
condemn,vb,doom
condescend,vb,belittle
condition,n,onlay
condom,n,warding
condominium,n,housetown
conduct,vb,lead
cone,n,taper 
confectionary,n,sweets
confederacy,n,deal 
confederation,n,bond
confer,vb,bestow
conference,n,meeting
confess,vb,acknowledge
confession,n,acknowledging
confidence,n,belief
configuration,n,setting
confine,vb,lock in
confirm,vb,strengthen
confirmation,n,strengthening
confiscate,vb,filch
conflagration,n,fire
confluence,n,eameet
conform,vb,dovetail
conformism,n,evenlyinghood
conformity,n,evenlying
confound,vb,befuddle
confront,vb,take on
confuse,vb,befuddel
confusing,adj,manifold
confusion,n,muddling
confute,vb,Overstale 
congress,n,gathering
conics,n,kegglelore
conjugate,vb,bend
conjunction,n,linking word
connect,vb,link
conquer,vb,do down
conquest,n,overwin
consanguinity,n,kinship
conscience,n,thewing
conscious,adj,aware
consciousness,n,awareness
conscript,vb,draft
consecrate,vb,bless
conservation,n,orholding 
conserve,n,orholdbeware
consequence,n,aftermath
consider,vb,heed
consideration,n,thought
consist of,vb,be made up of
consistency,n,weenness
consistent,adj,weenly 
console,vb,frover
consolation,n,froverness
consonant,n,withlide
conspicuous,adj,Sightly
conspiracy,n,plot
conspiracy theorist,n,plotbeholder
conspiracy theory,n,plotbeholding
conspire,vb,plot
constant,adj,ongoing
constitution,n,clay
constraint,n,thwing 
constrict,vb,tighten
consulation,n,bereding 
consult,vb,see with
consume,vb,eat 
consumerism,n,intakerhood
consummate,adj,crack
consumption,n,intaking
contact,vb,get
contain,vb,hold
contaminate,vb,befoul
contemplate,vb,yondthink 
contemplation,n,thought
contemporary,adj,today's
contempt,n,loathing
contemptuous,adj,shanding
contend,n,set to
content,adj,happy
contention,n,wrangling
contest,n,match
context,n,light
contiguous,adj,abutting
continent,n,mainland
continuation,n,Astandendness
continue,vb,go on
continuous,adj,unbroken
contort,vb,writhe
contract,n,bond
contradict,vb,gainsay
contradiction,n,gainsaying
contrast,n,againstness
contrast,vb,sunder
controversy,n,gainwending 
contribute,vb,pitch in
contribution,n,input
contrition,n,sorrow
control,n,hands
control,vb,lead
conundrum,n,riddle
conurbation,n,towncluster
convect,vb,Ibear
convergence,n,meeting
conversation,n,talk
converse,vb,speak
convert,vb,wend
convertible,n,drophead
convey,vb,give
convict,n,lag
convince,vb,wheedle
convoy,n,wain row
cooperate,vb,work together
cooperative,n,neatship 
cop,vb,nab
cop,n,hound
cope,vb,deal
copernicium,n,copernickshaft
copious,adj,beteeming
copper,n,are 
copper,adj,arn 
copse,n,thicket
copy,n,twin
copy,vb,imitate
cord,n,line
cord,vb,fasten
cordial,adj,friendly
cords,n,manstows
corduroy,n,ribbed cloth
core,n,kernel
coriander,n,Cloveleaf
cormorant,n,sea raven
cornea,n,hornweb
corner,n,nook
coronation,n,kinehelming 
corporation,n,businessbody
corpse,n,body
corpus,n,body
correct,vb,right
correction,n,righting
correction fluid,n,white out
corridor,n,hallway
corroborate,vb,bear out
corrode,vb,gnaw
corrugated,adj,wrizzled
corslet,n,byrnie
corvée-work,n,workrede 
cosmetics,n,fard
cosmolabe,n,tungleheight meter
cosmopolitan,n,worldsman
cosmopolitan,adj,worldly
cost,n,outlay
costly,adj,dear
costume,n,outfit
Côte d'Ivoire,n,Windward Shore
cottage,n,hut
cottager,n,cotsettle
cotton,n,seedwool
council,n,gathering
count,vb,tell
count,n,earl
countenance,n,cast
counterbalance,n,offset
counter-clockwise,adj,withershins
counterculture,n,witherkithship
counterfeit goods,n,openware
counterpart,n,match
countersign,n,gaintoken/ gaintokening
counterstroke,n,witherclap
country,n,land
county,n,shire
county council,n,thing 
coup,vb,strike
coup d'état,n,punch 
coup de grâce,n,topper
coupon,n,deemslip
courage,n,mettle
courageous,adj,bold
course,n,line
courteous,adj,fairspoken
courtyard,n,hallyard
cousin,n,kins
covenant,n,oath
cover,n,holster
cover,vb,thatch/thack
coverage,n,yondfetching
covered area,n,deck
covering,n,skin
cover with,vb,lay on
covert,adj,hidden
cover-up,n,whitewash
covet,vb,crave
covetous,adj,greedy
coward,n,wimp
cowardly,adj,gutless
co-worker,n,by-worker
cranium,n,skull
crater,n,bowl 
cravat,n,necktie
crayon,n,waxlimestone
cream,n,salve
create,vb,beget
creation,n,brainchild
creative,adj,shaperly
creator,n,maker
creature,n,wight
credence,n,belief
credibility,n,liefworthiness
credible,adj,liefworthy
credit,n,hail
creed,n,belief
cremate,vb,bale
creme de la creme,n,bee's knees
crepuscular,adj,twilighty
crepuscule,n,twilight
crescent,n,moonsickle
crest,n,ridge
cretaceous,adj,chalken
cretin,n,blighter
crevasse,n,cleft
crevice,n,cleft
crime,n,lawbreaking
criminal,n,crook
crimson,n,deepred
crisis,n,needtime
criterion,n,yardstick
critic,n,scather
critical,adj,weighty
criticize,vb,slag
criticism,n,scathing
crocodile,n,nicker 
croissant,n,moonbread
crown,n,kine-helm
crown,vb,kinehelm
crucifix,n,rood
crucify,vb,roodfasten
crude,adj,rough
cruel,adj,harsh
cruelty,n,meanness
cruise,vb,thwarse 
cruiser,n,thwarser
crusade,n,krosscampagne
crust,n,rind 
cry,n,roop
cry,vb,weep
cryogenic,adj,coldly
cryotherapy,n,coldbehandling
crypt,n,thesterlock
cryptocurrency,n,keepminthood
cryptography,n,hidden writing
crystal,n,hurst 
crystal,adj,hursten 
crystalline,adj,hursty
cub,n,whelp
cube,n,worvel 
cuckoo,n,yeke
cucumber,n,greenpod
cuisine,n,cooking
cull,vb,choose
cull,n,pickings
cul de sac,n,dead end
culminate,vb,nib
cultivate,vb,till
culture,n,couth
culvert,n,leat
cuneiform bones,n,wedgebones
cure,vb,heal
curiosity,n,witfire
curious,adj,newsyearny
curious,vb,funny
curium,n,curieshaft
curlew,n,whaup
currency,n,minthood
current,adj,nowaday
current,n,run
curriculum,n,learnplot
curriculum vitae,n,smithsyore
cursive,adj,handwritten
cursor,n,runner
curtail,vb,cut back
curtain,n,hanger
curve,n,bow
custody,n,hold
custom,adj,bespoken
custom,n,wone
customary,adj,wonely
cutaneous,adj,skin
cutaneous disease,n,tetter
cute,adj,pretty
cutlass,n,backsword
cutlery,n,silverware
cycad,n,firtapfolm 
cyclist,n,wheeler
cyclone,n,whirlwind
cygnet,n,swanling
cylinder,n,rollshape
cynical,adj,sneering
cynosure,n,hoardvat 
czar,n,Russlander king/highking
dairy,n,milkhouse
damage,n,scathe
damage,vb,scathe
damaged,adj,scathed
damaging,adj,bad
damn,adj,all-out
damnation,n,hell
damsel,n,maid
dance,vb,step
dandelion,n,horsebloom 
danger,n,plight
dangerous,adj,plightful
darmstadtium,n,darmsteadshaft
dart,n,darth 
data,n,rawput
database,n,fading 
date,n,dealmark 
date-fruit,n,palmapple 
daub,vb,befoul
day of tribulation,n,arvethday
deactivate,vb,switch off
debate,vb,moot
debatable,adj,moot
debris,n,trash
debt,n,Shild 
debut,n,beginning
decade,n,yearten 
decapitate,vb,behead
decay,vb,foul
deceased,adj,breathless
deceit,n,misleading
deceive,vb,swike
December,n,Ereyule 
decent,adj,good
decentralization,n,outkerneling
deception,n,cheating
decide,vb,choose
deciduous,adj,leaf-shedding
decision,n,call
decisive,adj,all-out
declaration,n,boding
declare,vb,bode
declination,n,dwining
decline,vb,dwindle
decoction,n,mixling
decorate,vb,bedeck
decrease,vb,shrink
decrepit,vb,timeworn
dedicate,vb,earmark
defame,vb,file
default,n,flaw
defeat,n,loss
defeat,vb,beat
defecate,vb,drite
defect,n,blight
defend,vb,bulwark
defenestrate,vb,outwindow
defense,n,shield
deficiency,n,dearth
deficient,adj,wanting
deficit,n,shortfall
defile,vb,befile
define,vb,mark off
definition,n,wordmark 
deflect,vb,offdrive
deform,vb,misshape
deformed,adj,misshapen
deformity,n,blight
defragment,vb,cleave
defraud,vb,swindle
defrost,vb,thaw
defy,vb,Flout 
degenerate,adj,rotten
degeneration,n,rot
degrade,vb,bemean
degree,n,cut
deify,vb,begod
deity,n,god
Deism,n,Godtroth
déjà vu,n,foreseen
delay,n,lag
delay,vb,stall
deliberate,adj,weighed
delicious,adj,smakely
delight,n,gladness
delightful,adj,sweet
delimit,vb,mire 
delirious,adj,bewildered
deliver,vb,bear
deliverer,n,aleasand 
delivery,n,childbirth
delude,vb,mislead
deluge,n,flood
delusion,n,misbelief
demeanour,n,jib
dementia,n,madness
demilitarized,adj,unweaponed
demise,n,downfall
Demiurge,n,Craftsman
democracy,n,shire
demodulation,n,backrighting
demograph,n,folk outline
demolish,vb,tear down
demolition,n,wipeout
demon,n,fiend
demonstrate,vb,show
dendrite,n,sinewtwig
dendrochronology,n,treering-timetelling 
dendrology,n,treelore
dengue,n,breakbone driff 
denial,n,naysay
denigrate,vb,slighten
denomination,n,benaming
denote,n,betoken
denouement,n,unravelling
dense,adj,thick
density,n,crowd
dentist,n,toothleech 
denude,vb,strip
deny,vb,gainsay
deodorant,n,unsmeller
deoxyribonucleic acid,n,unasourseedsweetkernly sour
depart,vb,book slang
department,n,ambight
depend,vb,hang
dependence,n,onhanginess
dependent,adj,hingey
depict,vb,show
depreciate,vb,cheapen
depression,n,moodsink
deprivation,n,lack
deputy,n,outfader 
deracinate,vb,uproot
deranged,adj,crazed
deregulation,n,unreding
derive,vb,come from
derived,adj,forthbrought
dermatologist,n,hideleech
dermatology,n,hidelore
dermis,n,hide
derogatory,adj,aworthly
desacralize,vb,unhallow
descend,vb,fall
descendant,n,offspring
descent,n,downcoming
describe,vb,draw out
description,n,bewriting
desecrate,vb,unhallow
desk,n,writboard 
desert,vb,leave
desert,n,dustbowl
deserter,n,heraflighter 
deserving,adj,meedful
designate,vb,betoken
desinfectant,n,withersmite
desirous,adj,wishful
desman,n,watermole
desolate,adj,barren
desolation,n,aweestness 
despair,n,hopelessness
despair,vb,phrases
desperate,adj,hopeless
despondency,n,atsprungness 
despise,vb,hate
dessert,n,afters
destination,n,goalspot
destine,vb,tee
destiny,n,lot
destroy,vb,fordo
destruction,n,breakdown
detail,n,meal 
detective,n,sleuth
deteriorate,vb,worsen
determine,vb,name
detest,vb,hate
detrimental,n,harmful
Devail/Devil,n,fiend
devalue,vb,cheapen
devastate,vb,ransack
devastation,n,Def 1
develop,vb,grow
device,n,tool
devious,adj,shrewd
devise,vb,think up
devolve,vb,netherwind
devote,vb,earmark
devour,vb,fret
devout,adj,down-the-line
dexterity,n,deftness
dexterous,adj,deft
diabetes,n,sweethurstsickness
diabetic,adj,sweethurstsickened
diabolic,n,fiendish
diacritic,n,mark
diæresis/diëresis,n,break
diagonal,adj,leaning
dialect,n,street-talk 
diameter,n,bore
diamond,n,hardore
diaphanous,adj,sheer
diaphragm,n,midrith 
diarrhoea,n,skitter
diary,n,daybook
diaspora,n,yondseeding
dichotomy,n,twidealing 
dictator,n,king
dictatorship,n,Fulldightership
dictionary,n,wordbook
diet,n,foodline
difference,n,otherness
different,adj,unlike
difficult,adj,pick-and-shovel
difficulty,n,hardship
diffident,adj,withdrawn
digit,n,finger
digital,adj,scorely
dignity,n,worth
digraph,n,twiwrit 
digress,n,umsweep 
dilapidated,adj,threadbare
dilate,vb,abreethe 
diligent,adj,tied-up
dimension,n,mealwidth 
diminish,vb,lessen
diminutive,adj,tiny
dimorphism,n,twoshapenness
diningroom,n,buttern 
dinner,n,evening meal
dinosaur,n,dreadask 
diocese,n,bedereve shire
diphthong,n,twithedin 
diploma,n,douth writ
direct,adj,rode
direct,vb,lead
direction,n,heading
directory,n,threadlist
disability,n,behindering 
disable,vb,cripple
disabled,adj,lame
disadvantage,n,afterdeal
disadvantaged,adj,hindered
disappear,vb,flee
disappoint,vb,let down
disarm,vb,andweapon
disarrange,vb,rumple
disaster,n,shipwreck
disastrous,adj,baneful
discalced,adj,barefoot
discard,vb,get rid of
disciple,n,loreknight 
disclaim,vb,foreswear
disclaimer,n,forsaker
disclose,vb,bare
disconcert,vb,taken aback
disconcerting,adj,offputting
discontinue,vb,cut
discount,n,falloff 
discourse,n,chat
discourse,vb,talk
discovery,n,finding
discredit,vb,mirch
discriminate,n,treat unfairly
discuss,vb,talk about
disease,n,addle
disfigure,vb,mar
disgrace,n,shendship
disgrace,vb,shend 
disgusting,adj,loathely
dishevelled,adj,cluttered
dishonourable,adj,arless
disinclined,adj,loath
disinfect,vb,unsmittle
disinfectant,adj,unsmittling
disinfectant,n,unsmittler
disk,n,flat
dislike,vb,mislike
dislocate,vb,unstead
dismember,vb,alithe
dismiss,vb,snub
disobedience,n,overhearness 
disobedient,adj,unhold
disordered,adj,unsided
dispatch,vb,send off
disperse,vb,scatter
displace,vb,uproot
displease,vb,misqueme 
disposable,adj,throwaway
disposal,n,deep-six
disposition,n,heart
disprove,vb,belie
dispute,n,bickering
dispute,vb,bicker
disqualify,vb,unfit
disregard,vb,overlook
disrupt,vb,upset
dissect,vb,sithe
dissemble,vb,bluff
dissolution,n,breakup
dissonance,n,infighting
distance,n,lead
distant,adj,away
distill,vb,drop
distinct,adj,marked
distinguish,vb,make-out
distort,vb,misshape
distract,vb,throw off
distraught,adj,worked up
distress signal,n,woecall
distribute,vb,deal out
distribution,n,dealing
district,n,neighbourhood
distrust,vb,forthink
disturb,vb,stir
disturbance,n,stir
disturbing,adj,creepy
diurnal,adj,daily
diverse,adj,manifold
divert,n,off-lead
divide,n,split
divide,vb,cleave
divination,n,foretelling
divine,adj,godly
divinity,n,holiness
division,n,cleaving
divorce,n,wedbreach
DNA,n,twisted ladder
docile,adj,meek
doctrine,n,lorespell 
document,n,leafwrit
documentary,n,broadcast
dogma,n,ground lief
dolphin,n,mereswine
domain,n,lorddom
dome,n,cupple 
domestic,adj,homeland 
domesticate,vb,tame
domicile,n,grith
dominate,vb,lord over
donate,vb,bestow
donation,n,gift
doppelgänger,n,look-alike
dormant,adj,sleeping
dormitory,n,bedroom
dorsal,adj,back
dosage,n,muchness
double,vb/n/adj,twin
doubtful,n,twiminded
douse,vb,drench
dozen,adj,twelve
dozen,n,tens
draconian,adj,harsh
dragon,n,lindworm
dragonfly,n,leanfly
drainage basin,n,watershed
dramatic,adj,hammy
dramatist,n,playwright
dress,n,bodyskirt
dress,vb,clothe
dromadary,n,drylander
drug,n,lib
drupe,n,stoneberry
dual,adj,twin
dub,vb,name
dubious,adj,dodgy
dubnium,n,dubnashaft
duchy,n,earldom
due,adj,owing
duel,n,ballgame
duet,n,twising
dugong,n,seacow
duke,n,earl
dunce,n,mouthbreather
dune,n,sandhill
duplication,n,twofoldness
duvet,n,bedspread
dynamic,n,snell
dynasty,n,erverike
dysentery,n,reddrif 
dysfunctional,adj,unworking
dyslexia,n,word-blindness
dysprosium,n,arvethshaft
eager,adj,earnest
ease,n,lightheartedness
ease,vb,allay 
easy,adj,smooth
eau de toilette,n,rosewater 
ebullition,n,outburst
eccentric,adj,odd
eccentric,n,odd
ecclesiastical,adj,churchly
echelon,n,rung
echo,n,witherclank
ecology,n,wonelore 
economics,n,trade
economy,n,wealthdom
ecosystem,n,living earth
ecstatic,adj,athrill
ectoplasm,n,evilslime
ecumenopolis,n,worldborough
edda,n,hoard
edelweiss,n,silver star
edible,adj,eating
edifice,n,building
edify,vb,build up
edifying,adj,teaching
edit,vb,comb
edition,n,combing
educate,vb,teach
educated,adj,learned
education,n,learning
educator,n,teacher
educe,vb,outbring
effect,n,aftermath
effective,adj,handy
effeminate,adj,womanlike
efficacious,adj,handy
efficacy,n,handiness
effort,n,swink
effrontery,n,shamelessness
egalitarianism,n,evenhandedness
ego,n,bighead
egocentric,adj,selfish
egoïsm,n,selfishness
egotistic,adj,bigheaded
egregious,adj,gross
egressive,adj,outflowing
Egypt,n,Two Narrows
einsteinium,n,anstonshaft
ejaculate,vb,spout
eject,vb,cast out
elaborate,adj,spelled out
elastic,adj,rubbery
elate,vb,uplift
elect,vb,choose
election,n,choosing
electric,adj,sparkalne
electrician,n,sparky
electricity,n,alneflow 
electrocution,n,sparkbite
electromagnetism,n,sparkdraught
electromagnetic,adj,sparkdrawing
electro-mechanical,adj,sparkworkcraftly
electron,n,lightbit
electronic,adj,lightfed
element,n,eredust 
elephant,n,tusker
elevate,vb,lift
elevation,n,height
elevator,n,lift
elite,n,best
elite,adj,picky
ellipse,n,ringshadow
ellipsis,n,outlettingtoken 
elocution,n,talecraft 
elongate,vb,lengthen
eloquent,adj,silver-tongued
eloquence,n,wordskillness
emanate,vb,cast
emasculate,vb,unman
embarrass,vb,shame
embassy,n,sent men
embody,vb,inbody
embrace,vb,fathom
embroidery,n,needlework
embryo,n,wightblossom
emerge,vb,come up
emergency,n,need
emigrant,n,outgoer
eminence,n,height
emirate,n,emirdom
emissary,n,sentman 
emit,vb,spout
emotion,n,stirring
emotional,adj,stirring
empathy,n,fellow-feel
emperor,n,king of kings
emphasize,vb,underscore
empire,n,richdom 
empiricism,n,fandlieving
employ,vb,hire
employee,n,underling
employer,n,hirer
employment,n,hiring
empress,n,highqueen 
emulate,vb,ape
emulsion,n,forblending
enable,vb,let
enact,vb,belaw
enchant,vb,spellbind
enchantment,n,bliss
enchantress,n,witch
encircle,vb,begird
enclose,vb,bound
enclosure,n,haw
encode,vb,overset
encompass,vb,hold
encounter,vb,meet
encourage,vb,stouten
encouragement,n,stoutening
encroachment,n,overstep
encryption,n,stave hiding
encumber,vb,block
encumbrance,n,burden
encyclopedia,n,worldkenning
encyclopedic,n,all-in
endeavour,vb,undertake
endeavour,n,ettel
endoplasmic reticulum,n,lifebrick net
endorse,vb,stamp
endow,vb,gift
endowment,n,knack
endure,vb,last
endurance,n,strength
enemy,n,foe
energy,n,ellen 
enervate,vb,unman
enforce,vb,helmstand
engaged,adj,working
engine,n,craft
engineer,n,sarewright
enigma,n,riddle
enjoy,vb,neet
enjoyment,n,wen
enlarge,vb,swell
enmity,n,foedom
ennui,n,boredom
enrich,vb,make wealthy
enrichment,n,wealying 
ensnare,vb,grin 
ensue,vb,follow
ensure,vb,see to it
enter,vb,go into
entrance,n,ingang
enterprise,n,business
entheogen,n,holyspring
enthusiasm,n,white heat
entice,vb,draw to
entire,adj,whole
entirety,n,whole
entitle,vb,let
entitled,adj,upstart
entrail,n,offal
entrance,n,key
entrance,vb,bewitch
entrepreneur,n,business
entry,n,threshold
enumerate,vb,outtell 
enunciate,vb,say sharply
envelop,vb,shroud
envelope,n,kite 
envious,adj,evestful
environment,n,setting
envision,vb,foretell
envoy,n,sent one
envy,vb,want
envy,n,nithe 
enzyme,n,yeaster
ephemeral,adj,fleeting
ephemeris,n,tunglebook
epicentrum,n,heart
epiglottis,n,throatlid 
epilepsy,n,falling sickness
epilogue,n,afterword
epiphany,n,sweetling 
Epiphany,n,Sweetlingday 
episode,n,follow 
epistemology,n,knowledgelore
epistle,n,errandwrit 
epithet,n,byname
equal,adj,even
equal,n,match
equality,n,fairness
equanimity,n,steadiness
equate,vb,match
equation,n,match
equator,n,evener 
equatorium,n,stargirdler
equidistant,adj,midway
Equestria,n,Horseland
equinox,n,evennight 
equip,vb,graith
equipment,n,gear
equitable,adj,evenhanded
equivalent,adj,likeworthy 
equivalent,n,fellow
era,n,eld
eradicate,vb,wipe out
erase,vb,rub out
eraser,n,rubber
erbium,n,sweeshaft
erection,n, building 2
ergonomic,adj,body-friendly
erinacine,n,hedgehog
erithrocyte,n,red bloodmote
ermine,n,stoat
erotic,adj,lovely
err,vb,wander
error,n,dwale
erupt,vb,flare up
eruption,n,outburst
escalator,n,ridestairs
escape,n,breakout
escape,vb,break out
escape pod,n,fleepod
esophagus,n,weasand
espionage,n,sleuthcraft
essay,n,spellwrit
essence,n,nub
essential,adj,key
establish,vb,build
established,adj,longstanding
establishment,n,body
estate,n,grounds
esteem,vb,aughten 
esteem,n,aught
estuary,n,mouth
esurient,adj,hungry
et cetera,phr,and so on
eternal,adj,ay
eternity,n,everness
ether,n,swail 
ethmoid bone,n,sievebone
ethnic group,n,folkstock
ethnic minority,n,outlandish fellowship
ethnology,n,folkken 
etymology,n,rootlore
eu-,n,good-
eukaryote,n,wholelifebit
euphemism,n,gilded words
euphonic,adj,wellclinking
euphoria,n,good-feeling
Europe,n,Eveland
europium,n,eveshaft
euthanasia,n,death-choosing
evacuate,vb,empty
evade,vb,dodge
evaluate,vb,bedeem
evaluation,n,reckoning
evangel,n,gospel
evangelism,n,gospeldom
evangelist,n,gospeler
evangelization,n,gospeling
evangelize,vb,gospel
evaporate,vb,dry up
event,n,happening
evidence,n,word
evince,vb,bespeak
evocative,adj,mindful
evoke,vb,awake
evolution,n,unfolding
evolutionary,adj,unfolding
evolve,vb,grow
exact,adj,right
exaggerate,vb,overplay
exaggeration,n,overblowing
exalt,vb,uplift
examine,vb,go over
example,n,byword
exaptation,n,kludging
exasperate,vb,imbitter
excavate,n,delve
excavation,n,delving
exceed,vb,outreach
excel,vb,outdo
excellent,adj,outstanding
exception,n,standout
exceptional,adj,outstanding
excerpt,n,outpull 
excessive,adj,overmuch
exchange,vb,swap
excise,vb,snithe
excite,vb,upedge
exciting,adj,thrilling
exclamation mark,n,outrooptoken 
exclude,vb,outshut
excommunicate,vb,amanse 
excoriate,vb,chide
excrement,n,shit
excursion,n,outing
excuse,vb,forgive
excuse,n,grounds
ex-directory,adj,unlisted
execute,vb,kill
executioner,n,halseman
exemplar,n,template
exempt,vb,let out
exert,vb,put forth
exhale,vb,breathe out
exhaust,vb,overwork
exhausted,adj,tired
exhaustive,adj,all-out
exhaustive,adj,thorough
exhibit,vb,show
exhibition,n,show
exhume,vb,dig up
exile,vb,send away
exile,n,outcast
exist,vb,be
existence,n,thingness
existent,adj,living
exit,n,way out
exit,vb,leave
exotic,vb,outlandish
expand,vb,broaden
expanse,n,spread
expect,vb,hope for
expectation,n,awaitedness
expectorate,vb,spit
expedient,n,makeshift
expedite,vb,hurry
expedition,n,outing
expeditious,adj,fast
expel,vb,drive out
expenses,n,overheads
expensive,adj,dear
experience,vb,undergo
experience,n,feelbad
experienced,adj,wise
experiment,vb,fand
experiment,n,fanding
experimental,adj,fanding
expert,n,dab
expertise,n,know-how
expiate,vb,atone
expiration date,n,sell-by
explain,vb,spell out
explanation,n,atelling
explicit,n,outfold
explode,vb,burst
exploit,vb,overwork
exploitation,n,bedrainingoutnoting outbootying 
explore,vb,delve
explorer,n,pathfinder
explosive,n,fireshot
export,vb,outsend
expose,vb,nail
exposé,n,shendful outlaying
exposition,n,outstelling 
expound,vb,flesh out
express,vb,utter
expression,n,uttering
expressive,adj,well spoken
expulsion,n,outcast
extant,adj,lasting
extend,vb,lengthen
extend for,vb,span
extension,n,furthering
extensive,adj,broad
extent,n,length
exterminate,vb,wipe out
external,adj,outward
extinct,adj,dead
extinction,n,death
extinguish,vb,douse
extra,adj,spare
extra time,n,overtime
extract,vb,take out
extraordinary,adj,amazing
extraterrestrial,adj,farlander
extravagance,n,wanthrift
extreme,adj,utmost
extrinsic,adj,outborn
extrovert,adj,backslapper
extroverted,adj,outgoing
exuberant,adj,outgoing
exultation,n,glee
exuviate,vb,shed
fable,n,tale
fabric,n,cloth
fabricate,vb,bring into being
fabrication,n,making
fabulous,adj,groovy
facade,n,foreside
face,n,leer
facet,n,side
facetious,adj,biting
facilitate,vb,easen
fact,n,truth
factor,n,building block
factory,n,buildworks
faculty,n,lorehalldeal
fad,n,hit
fade,vb,dwindle
feces,n,shit
faggot,n,stickbind
faience,n,tin-glazed earthenware
fail,vb,fizzle
failure,n,oversight
faint,vb,swoon
fair,n,hoppings
fairy,n,elf
fairytale,n,elvinrime
fait accompli,n,done deed
faith,n,belief
faithful,adj,down-the-line
faithfulness,n,lieffulness 
falcon,n,falk 
fallacy,n,untrue/wrong/unsound rake
fallible,adj,unsound
FALSE,adj,lease
falsely accuse,vb,forwray 
fame,n,name
familiar,adj,couth
family,n,kin
family household,n,hewreaden 
famine,n,dearth
famished,adj,hungry
famous,adj,well-known
fan,n,lover
fanatic,n,hardnose
fanaticism,n,ellentroth
fancy,n,liking
fancy,adj,showy
fantastic,adj,wonderful
fantasy,n,daydream
farce,n,take-off
farm,n,holding
farmer,n,small holder
farming,vb,tillage
farrago,n,mash
fasces,n,bundle
fascia,n,strip
fascism,n,bundlelief
fascist,n,blackshirt
fascinate,vb,bewitch
fascinated,adj,inthralled
fashion,vb,fit
fashion,n,trend
fashionable,adj,dashing
fastidious,adj,choosy
fatal,adj,deadly
fatal wound,n,wealben 
fatamorgana,n,loftglass
fate,n,doom
fatigue,n,frazzle
fatuous,adj,brainless
fault,n,shortcoming
fauna,n,wildlife
faux-pas,n,mistake
favor,n,kindness
favourable,adj,bright
favourite,adj,beloved
feasible,adj,likely
feast,n,feed
Feast of the Cross,n,Holy Rood Day
Feast of the Transfiguration,n,Forhallowing Day
feat,n,deed
feature,n,shape
February,n,Mudmonth 
feckless,adj,bootless
federal,adj,kernelish
federation,n,gathertang 
feeble,adj,weak
fee simple,n,freehold
feign,vb,sham
feint,n,blind
felicitate,vb,hug
feline,adj,pusslike
fellow,n,gesith
fellowship,n,gesithship
felony,n,headsin
female,adj,wifely
female,n,quean
feminine,adj,wifely 
feminism,n,wifehoodness
feminist,n,wifehooder
femme fatale,n,maneater
femur,n,thigh bone
fence,n,waugh
fender,n,shield
fennec,n,dryland fox
feral,adj,wild
feric,adj,ironlike
feriferous,adj,iron-yielding
fermium,n,fermishaft
ferocious,adj,fiendish
ferret,n,neasle
ferret,vb,hound
Ferris wheel,n,big wheel
fertile,n,fallow
fervent,adj,glowing
fester,vb,burn
festival,n,holiday
festive,adj,festlike
festoon,n,wreathe
festoon,vb,deck
fetid,adj,smelly
fetish,n,kink
feud,n,foe-fighting
feudal,adj,toll-run
feudalism,n,leandom
fever,n,ail
fiancé,n,betrothed
fiancée,n,betrothed
fiasco,n,out-and out breakdown
fibre/fiber,n,bristle
fibula,n,calf bone
fiction,n,literature
fictional,adj,made up
fidelity,n,faithfullness
figment,n,daydream
figure,n,ansen 
figure out,vb,riddle
filings,n,swarf
Filipino Language,n,Philipslandish Tung
final,adj,last
finale,n,ending
finance,n,thrift
finish,vb,end
finish,n,ending
finished,adj,ready
fireplace,n,hearth
firm,adj,fast
firmament,n,blue
fiscal,adj,gelth
fissure,n,crack
fix,n,fastening
fix,vb,fasten
fixed,adj,given
flaccid,adj,limp
flagellate,n,lash
flagellum,n,whip
flame,n,blaze
flamingo,n,stiltswan
flange,n,rim
flask,n,flax 
flatulence,n,wind
flavour,n,swetch
flax,n,linwort
Flensburg,n,Flensbury
flerovium,n,flerovshaft
flexible,adj,lithe
flexibility,n,limberness
flight-hooligan,n,flight-dretch
flinch,vb,draw back
flirt,vb,eye-tease
floccinaucinihilipilificate,vb,deem worthless
flora,n,green
Florence,n,Fairburgh 
flotsam and jetsam,n,sea-bits and strew
