a cappella,avb/adj,singing
amount,n,score
amount,vb,come up
ampersand,n,andtoken
amphibian,n,lurrow 
amphibious,adj,two-breathed 
amphitheater,n,playstow
ample,adj,broad
amplifier,n,forstronger
amplify,vb,outbroaden 
amplitude,n,breadth
amusement,n,fun
amusing,adj,listing
anachronism,n,mistiming 
anaconda,n,whipsnake
anaesthesiologist,n,warkleech
anaesthetic,adj,unsightly
anaesthetist,n,warkleech
anagram,n,stavewrixel
anal,adj,bottom
analgesic,n,numbing
analogue,adj,gear-driven
analogy,n,alikeword
analyze,vb,look at
anarchy,n,lawlessness
anastomosis,n,shunt
anathema,n,forputting 
anatomy,n,bodylore
ancestor,n,forebearer 
ancestry,n,strain
ancient,adj,hoary
ancient times,n,yoretide
andiron,n,firedog
androgyny,n,werewifehood 
android,n,manhue/werehue 
anemometer,n,windmeter 
anemone,n,windrose
anesthesia,n,unfeeler 
anesthesiologist,n,warkleech
anesthetist,n,warkleech
angel,n,rotherer
anger,n,ire
angle,n,nook
angry,adj,wrathful
anguish,n,woe
angular,adj,nook-shot
animal,n,deer
animate,vb,liven
animation,n,drawn film
anime,n,dawnlandish livedrawing
animosity,n,hate
annals,n,year-bookings
annelid,n,ringworm
annex,vb,onend 
annihilate,vb,wipe out
annihilation,n,wrecking
anniversary,n,yearday
annotate,vb,mark
annotation,n,marking
announce,vb,ban
announcement,n,oncouthing 
annoy,vb,irk 
annoying,adj,irksome 
annual,adj,yearly
annual,n,yearbook
annul,vb,fordo
annuli astronomici,n,Gemma's Rings
anonymous,adj,nameless
anorexia nervosa,n,foodshy
antagonist,n,fiend
antarctic,n,southend
Antarctica,n,South End
antecedence,n,beforemath
antediluvian,adj,foreflood
Ante Meridiëm,phr,Before Midday 
antelope,n,pronghorn 
anterior,adj,foreward
anterior,n,fore
anthem,n,folksong 
anthocyanin,n,bloomblow
anthology,n,reader
Anthropocene,n,Mantide
anthropology,n,theedlore
anti-,n,wither-
anti-vaxx,adj,wither-imp
antibiotic,n,gainrodlifeanwork
antimony,n,greyshaft
antisemite,n,Jew-hater
anticipate,vb,foretell
antics,n,odd behaveness
antidisestablishmentarianism,n,gainunstathelingmanness
antidote,n,atterloathe 
antigen,n,offweirshaft
antihero,n,gainheleth
antilope,n,buck 
antimatter,n,gainshaft
antipathy,n,mislike
antipope,n,gainfather 
antiquated,adj,careworn
antiquity,n,olden days
antiseptic,adj,withersmite
anti-statism,n,witherlawwardness
anti-statist,adj,witherlawmootish
anti-statist,n,leedward witherling
antitoxin,n,gainatter
antler,n,blowhorn 
antonym,n,witherword
anulus,n,ring
anus,n,arsehole
anxiety,n,worry
aorta,n,loftleat
apart,adj,cleaved
apartment,n,flat
apathetic,adj,samewise
aperture,n,opening
apex,n,tip
aphid,n,greenfly
aphrodisiac,n,lustdrive
apogee,n,hightip
apologise,vb,say sorry
apology,n,sorry
apostle,n,errand-bearer
apothecary,n,leefwinkle 
apparel,n,clothes
apparent,adj,seeming
appeal,vb,call 
appealing,adj,fair
appear,vb,show up
appearance,n,blee
appease,vb,soothe
appellation,n,name
appendage,n,limb
appendicitis,n,blindgut addle
appendix,n,organ
appetite,n,craving
appetizer,n,starter
application,n,bearing
applause,n,standing and clapping
apply,vb,beseech
appoint,vb,afix
apprehension,n,foreboding
apprentice,n,beginner
approach,vb,near
approach,n,means
approaching,adj,nearing
appropriate,adj,befitting
approximate,adj,rough
appurtenance,n,sidemarking
April,n,Eastermonth
apron,n,barmcloth
apt,adj,fit
aquaculture,n,fish-farming
aqualung,n,waterlung
aquamarine,adj,seagreen
aquaphobia,n,waterfear
aquaphobic,adj,afraid of 
aquaplaning,n,watergliding
aquarium,n,fishglass
aquatic,adj,waterly
aqueduct,n,waterleat
aqueous,adj,watery
arable,adj,ploughsome
arachnid,n,eight-legger
arboreal,adj,treewise
arbitrary,adj,whimsy
arboretum,n,treestead
arc,n,bow
arcade,n,playhall 
arch,n,Biel 
archaeology,n,olddomlore
archaeopterix,n,stoneset orfowl 
archaic,adj,timeworn
archangel,n,high-ghost
archer,n,bowman
archery,n,bowmanship
archipelago,n,itune 
architect,n,highcrafter 
architecture,n,shell
architrave,n,silebeam
archive,n,backup
arctic,adj,bear- 
Arctic,n,Land of the Midnight Sun
ardour,n,keenness
area,n,land
